<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.01.12	1253.967	1255.028	1234.216	1253.669	296030	0	0
2014.01.19	1253.814	1272.425	1231.360	1269.783	370936	0	0
2014.01.26	1269.189	1278.654	1237.949	1243.995	419108	0	0
2014.02.02	1243.734	1274.076	1240.720	1267.011	376819	0	0
2014.02.09	1266.683	1321.032	1264.936	1318.291	389304	0	0
2014.02.16	1318.293	1339.823	1306.939	1323.959	384445	0	0
2014.02.23	1323.031	1345.266	1318.703	1326.199	475761	0	0
2014.03.02	1326.025	1354.593	1326.025	1339.152	535273	0	0
2014.03.09	1339.605	1387.789	1328.011	1382.254	519364	0	0
2014.03.16	1382.194	1391.931	1320.384	1333.495	551614	0	0
2014.03.23	1333.981	1334.629	1285.657	1294.133	505505	0	0
2014.03.30	1293.855	1306.564	1277.614	1302.550	461149	0	0
2014.04.06	1304.682	1324.362	1295.548	1317.594	469171	0	0
2014.04.13	1319.744	1331.036	1285.745	1294.871	367530	0	0
2014.04.20	1298.182	1304.920	1268.438	1301.967	401102	0	0
2014.04.27	1302.282	1306.285	1273.942	1298.981	410909	0	0
2014.05.04	1300.495	1315.443	1284.985	1288.003	390165	0	0
2014.05.11	1289.550	1308.914	1277.364	1292.942	396390	0	0
2014.05.18	1292.812	1305.250	1283.265	1292.254	419355	0	0
2014.05.25	1292.242	1293.978	1242.173	1249.322	402804	0	0
2014.06.01	1249.224	1257.529	1240.333	1252.945	341606	0	0
2014.06.08	1252.741	1277.777	1250.139	1276.829	359364	0	0
2014.06.15	1277.203	1321.766	1258.509	1314.459	446555	0	0
2014.06.22	1313.333	1325.736	1306.138	1315.854	414403	0	0
2014.06.29	1315.335	1332.379	1308.316	1320.081	399786	0	0
2014.07.06	1317.922	1344.889	1311.188	1338.508	331995	0	0
2014.07.13	1338.594	1338.938	1292.053	1310.655	498285	0	0
2014.07.20	1310.409	1318.235	1287.587	1306.889	295844	0	0
2014.07.27	1307.072	1312.025	1280.247	1293.382	391766	0	0
2014.08.03	1292.952	1322.545	1282.394	1309.346	377092	0	0
2014.08.10	1310.128	1319.181	1292.517	1304.486	302576	0	0
2014.08.17	1302.392	1303.545	1272.873	1279.830	316778	0	0
2014.08.24	1277.513	1296.338	1274.321	1286.910	280226	0	0
2014.08.31	1285.893	1289.779	1257.140	1268.524	285207	0	0
2014.09.07	1268.397	1271.638	1227.490	1229.280	345269	0	0
2014.09.14	1227.034	1241.896	1213.710	1214.915	365866	0	0
2014.09.21	1214.844	1235.334	1206.690	1217.855	384788	0	0
2014.09.28	1216.805	1223.188	1189.930	1190.821	396035	0	0
2014.10.05	1185.645	1233.136	1182.778	1222.889	371665	0	0
2014.10.12	1229.844	1249.370	1221.751	1237.997	431298	0	0
2014.10.19	1236.164	1255.060	1226.204	1230.734	363711	0	0
2014.10.26	1228.114	1235.328	1161.127	1171.730	415311	0	0
2014.11.02	1170.916	1178.514	1131.425	1177.748	443347	0	0
2014.11.09	1177.516	1193.443	1146.019	1188.428	464177	0	0
2014.11.16	1186.726	1207.600	1175.070	1201.190	477704	0	0
2014.11.23	1200.965	1204.050	1165.163	1167.063	374861	0	0
2014.11.30	1158.327	1220.862	1142.627	1191.998	583180	0	0
2014.12.07	1190.466	1238.095	1187.021	1222.247	469173	0	0
2014.12.14	1222.039	1223.999	1183.698	1195.503	494350	0	0
2014.12.21	1195.427	1203.113	1170.620	1195.514	242270	0	0
2014.12.28	1194.789	1210.372	1167.226	1188.411	226175	0	0
2015.01.04	1188.115	1223.861	1177.256	1222.998	264915	0	0
2015.01.11	1223.055	1281.807	1217.463	1280.287	480858	0	0
2015.01.18	1280.045	1307.178	1272.009	1294.084	537661	0	0
2015.01.25	1293.783	1298.970	1251.874	1283.266	478099	0	0
2015.02.01	1281.812	1285.538	1228.355	1232.828	402251	0	0
2015.02.08	1236.036	1245.716	1216.653	1229.425	351903	0	0
2015.02.15	1227.513	1236.440	1197.533	1201.662	228980	0	0
2015.02.22	1203.335	1219.828	1189.176	1212.857	382899	0	0
2015.03.01	1213.676	1223.072	1163.694	1167.030	341896	0	0
2015.03.08	1168.106	1175.194	1147.424	1158.162	325664	0	0
2015.03.15	1155.866	1187.806	1142.795	1182.294	293381	0	0
2015.03.22	1185.786	1219.439	1179.241	1198.111	278230	0	0
2015.03.29	1197.704	1208.417	1178.413	1202.651	232287	0	0
2015.04.05	1216.208	1224.052	1192.509	1206.962	288196	0	0
2015.04.12	1207.046	1209.313	1183.907	1203.553	298601	0	0
2015.04.19	1203.896	1208.948	1175.153	1179.210	366515	0	0
