<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.02.21	00:00:00	1320.561	1328.311	1316.005	1323.959	83443	0	0
2014.02.23	00:00:00	1323.031	1325.576	1323.007	1323.905	1530	0	0
2014.02.24	00:00:00	1324.038	1338.832	1318.703	1335.491	99135	0	0
2014.02.25	00:00:00	1335.542	1343.487	1331.148	1340.904	87395	0	0
2014.02.26	00:00:00	1340.941	1345.266	1322.214	1330.558	103318	0	0
2014.02.27	00:00:00	1330.563	1336.036	1323.788	1331.258	83789	0	0
2014.02.28	00:00:00	1331.246	1333.156	1319.586	1326.199	100594	0	0
2014.03.02	00:00:00	1326.025	1338.095	1326.025	1338.095	5236	0	0
2014.03.03	00:00:00	1338.101	1354.593	1336.105	1350.413	119256	0	0
2014.03.04	00:00:00	1350.430	1352.365	1331.180	1336.150	112589	0	0
2014.03.05	00:00:00	1336.129	1341.610	1332.572	1335.862	80089	0	0
2014.03.06	00:00:00	1335.869	1353.407	1331.099	1349.627	101338	0	0
2014.03.07	00:00:00	1349.629	1352.846	1328.279	1339.152	116765	0	0
2014.03.09	00:00:00	1339.605	1341.368	1336.333	1338.105	4772	0	0
2014.03.10	00:00:00	1338.113	1344.507	1328.011	1340.294	100710	0	0
